Date,S&P Daily Return,UPRO Mimic Daily Return,SPY Cumulative,UPRO Mimic Cumulative,Quarter End,S&P Portfolio Value,UPRO Portfolio Value,S&P Portfolio Normal,UPRO Portfolio Normal,Profile Portfolio Value,Contributions,SPY Max Drawdown,UPRO Max Drawdown,Portfolio Max Drawdown,UPRO_mimic_return,S&P_return,Profile_return
2020-01-02,,,,,False,100.0,100.0,70.0,30.0,100.0,100,0,0,-0.21055459754696745,39.66296234259816,14.874000157870585,22.984539077729213
2020-01-03,-0.007059870562045378,-0.021177311686136135,99.29401294379547,102.11773116861363,False,99.29401294379547,97.88226883138638,69.50580906065683,29.364680649415916,98.87048971007275,100,0,0,-0.21055459754696745,39.66296234259816,14.874000157870585,22.984539077729213
2020-01-06,0.0035333728907271933,0.01060241867218158,99.64485571734258,101.0350362289107,False,99.6448557173426,98.92005762611977,69.75139900213982,29.676017287835933,99.42741628997575,100,0,0,-0.21055459754696745,39.66296234259816,14.874000157870585,22.984539077729213
2020-01-07,-0.0028032386528962228,-0.008407415958688668,99.36552740623347,101.88447980488833,False,99.36552740623347,98.08839555499954,69.55586918436343,29.42651866649986,98.98238785086329,100,0,0,-0.21055459754696745,39.66296234259816,14.874000157870585,22.984539077729213
2020-01-08,0.004902451368978156,0.014709654106934467,99.85266207209538,100.38579434809347,False,99.8526620720954,99.53124192551775,69.89686345046678,29.859372577655325,99.7562360281221,100,0,0,-0.21055459754696745,39.66296234259816,14.874000157870585,22.984539077729213
2020-01-09,0.006655262605488987,0.019968087816466962,100.51720776004234,98.38128199102495,False,201.18273402059125,203.5154992864152,140.82791381441388,61.05464978592456,201.88256360033844,200,0,0,-0.21055459754696745,39.66296234259816,14.874000157870585,22.984539077729213
2020-01-10,-0.002855178689662563,-0.008563236068987689,100.23021317050147,99.22374413348375,False,200.6083213656876,201.77274802232773,140.4258249559813,60.53182440669832,200.95764936267963,200,0,0,-0.21055459754696745,39.66296234259816,14.874000157870585,22.984539077729213
2020-01-13,0.006976215252569862,0.020930945757709585,100.92944071238985,97.14689732714893,False,202.00780819699133,205.99604246656708,141.40546573789393,61.798812739970124,203.20427847786405,200,0,0,-0.21055459754696745,39.66296234259816,14.874000157870585,22.984539077729213
2020-01-14,-0.001514532772802224,-0.004541298318406672,100.77657976669035,97.58807036861916,False,201.70186075111505,205.06055298531524,141.19130252578054,61.51816589559457,202.7094684213751,200,0,0,-0.21055459754696745,39.66296234259816,14.874000157870585,22.984539077729213
2020-01-15,0.0018701968845122874,0.005612890653536862,100.9650518122018,97.04031920055044,False,202.0790829426921,206.21153544657562,141.4553580598845,61.863460633972686,203.3188186938572,200,0,0,-0.21055459754696745,39.66296234259816,14.874000157870585,22.984539077729213
2020-01-16,0.00836655302646827,0.025101959079404813,101.8097812720087,94.60441707892583,False,304.60644360831907,313.89804487899727,213.22451052582335,94.16941346369919,307.39392398952253,300,0,0,-0.21055459754696745,39.66296234259816,14.874000157870585,22.984539077729213
2020-01-17,0.003862162248501333,0.011588786745503999,102.20298716576563,93.50806666421545,False,305.7828831154734,317.5357423809306,214.04801818083135,95.2607227142792,309.30874089511053,300,0,0,-0.21055459754696745,39.66296234259816,14.874000157870585,22.984539077729213
2020-01-21,-0.0026519776473655776,-0.007953632942096733,101.93194712830804,94.25179550358774,False,304.97195374450416,315.01017964003654,213.48036762115288,94.50305389201097,307.9834215131639,300,0,0,-0.21055459754696745,39.66296234259816,14.874000157870585,22.984539077729213
2020-01-22,0.0002890760711180551,0.0008695282133541653,101.9614132151053,94.16984090823809,False,305.06011383869384,315.28408987872734,213.54207968708565,94.5852269636182,308.1273066507039,300,0,0,-0.21055459754696745,39.66296234259816,14.874000157870585,22.984539077729213
2020-01-23,0.0011409766124783616,0.0034252298374350845,102.07774880295896,93.84728755937267,False,305.4081802939838,316.3640103506485,213.7857262057886,94.90920310519455,308.6949293109831,300,0,0,-0.21055459754696745,39.66296234259816,14.874000157870585,22.984539077729213
