Date,S&P Daily Return,UPRO Mimic,UPRO Daily Return
2010-01-04,,,
2010-01-05,0.002647077047283952,0.007941231141851857,0.008593717512809684
2010-01-06,0.0007041881652838367,0.00211256449585151,0.0028817697143599386
2010-01-07,0.004221274862360236,0.012663824587080708,0.01218273062551578
2010-01-08,0.003327436857782251,0.009982310573346753,0.0097513923188699
2010-01-11,0.0013968214443218496,0.004190464332965549,0.0035458459728645586
2010-01-12,-0.009326598315325785,-0.027979794945977354,-0.0271661554979421
2010-01-13,0.008446355196394029,0.025339065589182086,0.025482652951640317
2010-01-14,0.002704942359933904,0.008114827079801712,0.007448789571694592
2010-01-15,-0.011224544136628434,-0.0336736324098853,-0.033149681766018846
2010-01-19,0.012495597007057935,0.037486791021173804,0.03748259383326946
2010-01-20,-0.010168624170349583,-0.03050587251104875,-0.030268243599801292
2010-01-21,-0.01922914376367746,-0.057687431291032376,-0.05856334096540472
2010-01-22,-0.022291500218771798,-0.0668745006563154,-0.06485334938201048
2010-01-25,0.005127625623067011,0.015382876869201034,0.0123137010058878
2010-01-26,-0.004190735356654596,-0.012572206069963787,-0.012583216248907236
2010-01-27,0.00475711025827108,0.01427133077481324,0.014937679475771404
2010-01-28,-0.011472146460556054,-0.03441643938166816,-0.035016596766457075
2010-01-29,-0.010868461054073797,-0.03260538316222139,-0.032745424323120664
2010-02-01,0.015550581551752485,0.046651744655257454,0.04678309218729848
2010-02-02,0.012103691076057244,0.03631107322817173,0.03705247386819521
2010-02-03,-0.004983067155017951,-0.014949201465053852,-0.014869728118290904
2010-02-04,-0.030866068939954472,-0.09259820681986342,-0.09175402502207741
2010-02-05,0.002066764755096706,0.006200294265290118,0.00577077310583185
2010-02-08,-0.007218616295071589,-0.021655848885214768,-0.021496324299306147
2010-02-09,0.012559875544952082,0.037679626634856245,0.03611878445272598
2010-02-10,-0.0019584900632998448,-0.005875470189899534,-0.005507764600924836
2010-02-11,0.010466370318115592,0.031399110954346776,0.029969440486638632
2010-02-12,-0.0008322756959562305,-0.0024968270878686916,-0.0027257110464177225
2010-02-16,0.015734805826628895,0.047204417479886684,0.047791501243664936
2010-02-17,0.004738287414296494,0.014214862242889481,0.013958459121687028
2010-02-18,0.0058952680956976256,0.017685804287092877,0.018911227760968874
2010-02-19,0.0020740563851791016,0.006222169155537305,0.006550879056320014
2010-02-22,0.0001795405438509423,0.0005386216315528269,-0.0016271525001890774
2010-02-23,-0.012144566552752756,-0.03643369965825827,-0.03598828450248204
2010-02-24,0.009197688313060226,0.027593064939180678,0.02810418074273513
2010-02-25,-0.0013536968778377068,-0.00406109063351312,-0.00335692371444285
2010-02-26,0.0006327806632511201,0.0018983419897533604,0.0020620470558556647
2010-03-01,0.010384301187882139,0.031152903563646417,0.030116325395347143
2010-03-02,0.0027709409220462167,0.00831282276613865,0.006925263147307348
2010-03-03,0.0008911861051390524,0.002673558315417157,0.003968757465574679
2010-03-04,0.0030279770774304104,0.009083931232291231,0.008827157978719802
2010-03-05,0.01429273852793811,0.04287821558381433,0.04348954731609678
2010-03-08,0.00017544245737277642,0.0005263273721183293,-0.00012444095799735155
2010-03-09,0.0016627730123734974,0.004988319037120492,0.005006502455426665
2010-03-10,0.004455464520902286,0.013366393562706858,0.013576103549672425
2010-03-11,0.00417510068545579,0.012525302056367371,0.012901794709548442
2010-03-12,8.650573822843732e-05,0.00025951721468531197,-0.0007276553531091468
2010-03-15,0.00025958152543004154,0.0007787445762901246,0.0016392898709784998
2010-03-16,0.007966269404147797,0.02389880821244339,0.0238772461940715
2010-03-17,0.005927503646175447,0.01778251093852634,0.017165038889358275
2010-03-18,-0.0005124052980484128,-0.0015372158941452385,-0.0008150281566594586
2010-03-19,-0.005061975911451411,-0.015185927734354232,-0.01624841547190503
2010-03-22,0.005346400304658161,0.016039200913974483,0.016279852223318736
2010-03-23,0.00703329567890143,0.02109988703670429,0.022019209177774224
2010-03-24,-0.004855138590793895,-0.014565415772381685,-0.014403104515250509
2010-03-25,-0.0016257630289653324,-0.004877289086895997,-0.0059001046620028585
2010-03-26,-0.0006001027281454796,-0.0018003081844364388,0.0005233827301061034
2010-03-29,0.006347434588503953,0.01904230376551186,0.017158684220017317
2010-03-30,0.0006819636846684407,0.002045891054005322,0.001772246581534187
2010-03-31,-0.0034073246858880024,-0.010221974057664007,-0.011016318728111152
2010-04-01,0.006837863216985429,0.020513589650956288,0.02123966585503889
2010-04-05,0.008149031772128668,0.024447095316386003,0.023567148648258707
2010-04-06,0.0023576798689570744,0.007073039606871223,0.00728863552416148
2010-04-07,-0.00571209866242528,-0.01713629598727584,-0.01584172989187982
2010-04-08,0.0034637213642452203,0.01039116409273566,0.008744359962904236
2010-04-09,0.006567467713667119,0.019702403141001357,0.019767192377304843
2010-04-12,0.0015892432473434415,0.004767729742030324,0.0056307843850713635
2010-04-13,0.0007518285830829807,0.002255485749248942,0.003122891001030137
2010-04-14,0.011349127854702434,0.0340473835641073,0.032043712283419845
2010-04-15,0.0008250684490713756,0.0024752053472141267,0.0038480560479314807
2010-04-16,-0.01591193562549953,-0.04773580687649859,-0.04776663200269371
2010-04-19,0.0037699398904120773,0.011309819671236232,0.00935771982794198
2010-04-20,0.008930824805472692,0.026792474416418077,0.027220858416058702
2010-04-21,-0.001820003449695906,-0.005460010349087718,-0.005562678811674271
2010-04-22,0.0029837228854967535,0.00895116865649026,0.009234727149193045
2010-04-23,0.00652779706941975,0.01958339120825925,0.019711456461218635
2010-04-26,-0.0037765042013118144,-0.011329512603935443,-0.011690854004909323
