Date,S&P Daily Return,UPRO Mimic,UPRO Daily Return,SPY Cumulative,UPRO Mimic Cumulative,UPRO Cumulative
2014-05-08,-0.0010642943096975666,-0.0031928829290926997,-0.0033783054915630384,180.57319999066576,411.50156394912597,382.0868722479983
2014-05-09,0.0014916778531899322,0.0044750335595697965,0.00478555346625531,180.84255703397147,413.3430472576138,383.91536940389534
2014-05-12,0.009736059235717631,0.029208177707152894,0.02817692697151064,182.60325088159286,425.4160444359303,394.73292473082944
2014-05-13,0.0008959768461382911,0.0026879305384148733,0.002895350710119704,182.76685916641236,426.5595332133013,395.87581498475646
2014-05-14,-0.00473770411411889,-0.01421311234235667,-0.014336690431426602,181.90096386581504,420.4967946470374,390.2002659760313
2014-05-15,-0.0087806533491821,-0.026341960047546298,-0.027333086184311406,180.3037545582272,409.4200848823238,379.5348884769672
2014-05-16,0.003468723252181727,0.01040616975654518,0.011541708179995114,180.929178384119,413.68057978734845,383.91536940389534
2014-05-19,0.0036693405807572965,0.01100802174227189,0.010913605143980876,181.59306916060694,418.2343846040032,388.105270154275
2014-05-20,-0.006305267219892108,-0.018915801659676323,-0.019432973665120423,180.44807633426896,410.3231459375771,380.5632306600725
2014-05-21,0.008424610148091816,0.025273830444275447,0.024922673065626455,181.96828102935828,420.6935835553652,390.0478836386121
2014-05-22,0.002432290622833344,0.007296871868500032,0.008007634085867243,182.4108807729591,423.7633307304688,393.1712443667571
2014-05-23,0.0040086732477755405,0.012026019743326621,0.011722650251072553,183.14210639081685,428.8595169123313,397.78025335324753
2014-05-27,0.006146627554659778,0.018439882663979335,0.018864231868056303,184.26781270837708,436.76763608352553,405.2840722850374
2014-05-28,-0.0007311245205503525,-0.0021933735616510575,-0.0028194126027507593,184.1330899921578,435.8096414979551,404.1414092639428
2014-05-29,0.005172883227880565,0.015518649683641694,0.015551231395917853,185.08558896507606,442.57281865311535,410.42630583607877
2014-05-30,0.0016115677575272436,0.004834703272581731,0.004176298344229945,185.3838669326351,444.7125269078133,412.14036853757034
2014-06-02,0.0011415300870560863,0.003424590261168259,0.004436478076191852,185.5954881943935,446.2354850964813,413.9688202469009
2014-06-03,-0.0005182510375260074,-0.0015547531125780223,-0.0015640724639701675,185.49930314007662,445.54169908708474,413.3213430142105
2014-06-04,0.002022903687789457,0.0060687110633683705,0.0048842915176874335,185.87455036448105,448.2455629255265,415.34012494397405
2014-06-05,0.006522099500321454,0.019566298500964363,0.02072603094816805,187.0868426765357,457.0160694114601,423.94847722757885
2014-06-06,0.0047823253901300156,0.014346976170390047,0.014196274129270936,187.98155283442696,463.5728680687916,429.9669660269885
2014-06-09,0.001023815873763434,0.003071447621290302,0.00274592339403279,188.17401133219357,464.99670785171617,431.14762237766325
2014-06-10,0.00010258689001552135,0.00030776067004656404,0.0007068685040116929,188.19331551879787,465.13981555009406,431.4523870525016
2014-06-11,-0.0034765122194097,-0.0104295366582291,-0.010064760340603551,187.53905915778554,460.2886227926124,427.1099221784368
2014-06-12,-0.007079932474398198,-0.021239797423194595,-0.02184917155313193,186.21129528263626,450.5121856882961,417.7779242167153
